Arrivals,Date,Employee_payday,Pension_payday,After_or_before_holiday,Monday,Tuesday,Wednesday,Thursday,Friday
1825,1/2,1,1,1,0,1,0,0,0
1257,1/3,0,0,0,0,0,1,0,0
969,1/4,0,0,0,0,0,0,1,0
1672,1/5,1,0,0,0,0,0,0,1
1098,1/8,0,0,0,1,0,0,0,0
691,1/9,0,0,0,0,1,0,0,0
672,1/10,0,0,0,0,0,1,0,0
754,1/11,0,0,0,0,0,0,1,0
972,1/12,0,0,0,0,0,0,0,1
816,1/15,0,0,0,1,0,0,0,0
717,1/16,0,0,0,0,1,0,0,0
728,1/17,0,0,0,0,0,1,0,0
711,1/18,0,0,0,0,0,0,1,0
1545,1/19,1,0,0,0,0,0,0,1
873,1/22,0,0,0,1,0,0,0,0
713,1/23,0,0,0,0,1,0,0,0
626,1/24,0,0,0,0,0,1,0,0
653,1/25,0,0,0,0,0,0,1,0
1080,1/26,0,0,0,0,0,0,0,1
650,1/29,0,0,0,1,0,0,0,0
644,1/30,0,0,0,0,1,0,0,0
803,1/31,0,0,0,0,0,1,0,0
1282,2/1,0,1,0,0,0,0,1,0
2043,2/2,1,0,0,0,0,0,0,1
1146,2/5,0,0,0,1,0,0,0,0
740,2/6,0,0,0,0,1,0,0,0
698,2/7,0,0,0,0,0,1,0,0
695,2/8,0,0,0,0,0,0,1,0
1159,2/9,0,0,0,0,0,0,0,1
881,2/12,0,0,0,1,0,0,0,0
768,2/13,0,0,0,0,1,0,0,0
654,2/14,0,0,0,0,0,1,0,0
858,2/15,0,0,0,0,0,0,1,0
1647,2/16,1,0,0,0,0,0,0,1
773,2/19,0,0,0,1,0,0,0,0
755,2/20,0,0,0,0,1,0,0,0
788,2/21,0,0,0,0,0,1,0,0
702,2/22,0,0,0,0,0,0,1,0
1037,2/23,0,0,0,0,0,0,0,1
931,2/26,0,0,0,1,0,0,0,0
719,2/27,0,0,0,0,1,0,0,0
811,2/28,0,0,0,0,0,1,0,0
1383,3/1,0,1,0,0,0,0,1,0
2022,3/2,1,0,0,0,0,0,0,1
1130,3/5,0,0,0,1,0,0,0,0
798,3/6,0,0,0,0,1,0,0,0
885,3/7,0,0,0,0,0,1,0,0
983,3/8,0,0,0,0,0,0,1,0
1439,3/9,0,0,0,0,0,0,0,1
973,3/12,0,0,0,1,0,0,0,0
725,3/13,0,0,0,0,1,0,0,0
681,3/14,0,0,0,0,0,1,0,0
840,3/15,0,0,0,0,0,0,1,0
1491,3/16,1,0,0,0,0,0,0,1
1050,3/19,0,0,0,1,0,0,0,0
779,3/20,0,0,0,0,1,0,0,0
686,3/21,0,0,0,0,0,1,0,0
663,3/22,0,0,0,0,0,0,1,0
1059,3/23,0,0,0,0,0,0,0,1
1005,3/26,0,0,0,1,0,0,0,0
704,3/27,0,0,0,0,1,0,0,0
732,3/28,0,0,0,0,0,1,0,0
738,3/29,0,0,0,0,0,0,1,0
1867,3/30,1,1,0,0,0,0,0,1
1486,4/2,0,0,0,1,0,0,0,0
1155,4/3,0,0,0,0,1,0,0,0
871,4/4,0,0,0,0,0,1,0,0
832,4/5,0,0,0,0,0,0,1,0
1101,4/6,0,0,0,0,0,0,0,1
929,4/9,0,0,0,1,0,0,0,0
672,4/10,0,0,0,0,1,0,0,0
751,4/11,0,0,0,0,0,1,0,0
1114,4/12,1,0,0,0,0,0,1,0
1612,4/13,0,0,0,0,0,0,0,1
1267,4/16,0,0,0,1,0,0,0,0
825,4/17,0,0,0,0,1,0,0,0
729,4/18,0,0,0,0,0,1,0,0
836,4/19,0,0,0,0,0,0,1,0
1123,4/20,0,0,0,0,0,0,0,1
900,4/23,0,0,0,1,0,0,0,0
702,4/24,0,0,0,0,1,0,0,0
724,4/25,0,0,0,0,0,1,0,0
824,4/26,0,0,0,0,0,0,1,0
1682,4/27,1,0,0,0,0,0,0,1
1146,4/30,0,0,0,1,0,0,0,0
1488,5/1,0,1,0,0,1,0,0,0
1121,5/2,0,0,0,0,0,1,0,0
1147,5/3,0,0,0,0,0,0,1,0
1455,5/4,0,0,0,0,0,0,0,1
1330,5/7,0,0,0,1,0,0,0,0
819,5/8,0,0,0,0,1,0,0,0
743,5/9,0,0,0,0,0,1,0,0
921,5/10,0,0,0,0,0,0,1,0
1731,5/11,1,1,0,0,0,0,0,1
1118,5/14,0,0,0,1,0,0,0,0
1064,5/15,0,0,0,0,1,0,0,0
869,5/16,0,0,0,0,0,1,0,0
844,5/17,0,0,0,0,0,0,1,0
1251,5/18,0,0,0,0,0,0,0,1
1187,5/21,0,0,0,1,0,0,0,0
785,5/22,0,0,0,0,1,0,0,0
705,5/23,0,0,0,0,0,1,0,0
890,5/24,0,0,0,0,0,0,1,0
1754,5/25,0,0,1,0,0,0,0,1
1310,5/29,0,0,1,0,1,0,0,0
937,5/30,0,0,0,0,0,1,0,0
956,5/31,0,0,0,0,0,0,1,0
2068,6/1,0,0,0,0,0,0,0,1
1383,6/4,0,0,0,1,0,0,0,0
842,6/5,0,0,0,0,1,0,0,0
923,6/6,0,0,0,0,0,1,0,0
959,6/7,0,0,0,0,0,0,1,0
1820,6/8,1,0,0,0,0,0,0,1
1164,6/11,0,0,0,1,0,0,0,0
928,6/12,0,0,0,0,1,0,0,0
919,6/14,0,0,0,0,0,0,1,0
1460,6/15,0,0,0,0,0,0,0,1
1081,6/18,0,0,0,1,0,0,0,0
993,6/19,0,0,0,0,1,0,0,0
862,6/20,0,0,0,0,0,1,0,0
900,6/21,0,0,0,0,0,0,1,0
1769,6/22,1,0,0,0,0,0,0,1
1059,6/25,0,0,0,1,0,0,0,0
924,6/26,0,0,0,0,1,0,0,0
859,6/27,0,0,0,0,0,1,0,0
805,6/28,0,0,0,0,0,0,1,0
1606,6/29,0,0,0,0,0,0,0,1
1648,7/2,0,0,0,1,0,0,0,0
1372,7/3,0,0,1,0,1,0,0,0
1283,7/5,0,0,1,0,0,0,1,0
1740,7/6,1,0,0,0,0,0,0,1
1195,7/9,0,0,0,1,0,0,0,0
880,7/10,0,0,0,0,1,0,0,0
855,7/11,0,0,0,0,0,1,0,0
955,7/12,0,0,0,0,0,0,1,0
1466,7/13,0,0,0,0,0,0,0,1
1290,7/16,0,0,0,1,0,0,0,0
968,7/17,0,0,0,0,1,0,0,0
831,7/18,0,0,0,0,0,1,0,0
838,7/19,0,0,0,0,0,0,1,0
1747,7/20,1,0,0,0,0,0,0,1
1182,7/23,0,0,0,1,0,0,0,0
842,7/24,0,0,0,0,1,0,0,0
818,7/25,0,0,0,0,0,1,0,0
822,7/26,0,0,0,0,0,0,1,0
1278,7/27,0,0,0,0,0,0,0,1
1184,7/30,0,0,0,1,0,0,0,0
989,7/31,0,0,0,0,1,0,0,0
1506,8/1,0,0,0,0,0,1,0,0
1155,8/2,0,0,0,0,0,0,1,0
1889,8/3,1,0,0,0,0,0,0,1
1235,8/6,0,0,0,1,0,0,0,0
957,8/7,0,0,0,0,1,0,0,0
891,8/8,0,0,0,0,0,1,0,0
1067,8/9,0,0,0,0,0,0,1,0
1475,8/10,0,0,0,0,0,0,0,1
1051,8/13,0,0,0,1,0,0,0,0
742,8/14,0,0,0,0,1,0,0,0
903,8/15,0,0,0,0,0,1,0,0
793,8/16,0,0,0,0,0,0,1,0
1515,8/17,1,0,0,0,0,0,0,1
1127,8/20,0,0,0,1,0,0,0,0
860,8/21,0,0,0,0,1,0,0,0
778,8/22,0,0,0,0,0,1,0,0
784,8/23,0,0,0,0,0,0,1,0
1060,8/24,0,0,0,0,0,0,0,1
930,8/27,0,0,0,1,0,0,0,0
738,8/28,0,0,0,0,1,0,0,0
660,8/29,0,0,0,0,0,1,0,0
800,8/30,0,0,0,0,0,0,1,0
1897,8/31,1,1,1,0,0,0,0,1
1491,9/4,0,0,1,0,1,0,0,0
859,9/5,0,0,0,0,0,1,0,0
810,9/6,0,0,0,0,0,0,1,0
1173,9/7,0,0,0,0,0,0,0,1
929,9/10,0,0,0,1,0,0,0,0
701,9/11,0,0,0,0,1,0,0,0
